YOUR SKU;MANUF.SKU;PRODUCT;PRICE;INVENTORY;NEXT SHIPMENT;EAN;MANUFACTURER;WEIGHT;
160007;MPACKUNI;Bluetens Masterpack  + All accessories UNIVERSEL;811;440000;164;000000;0;3760071200781;;1;400000;
160012;ELEC1201;Bluetens Pack of 12 electrodes S UNIVERSAL;66;640000;114;000000;0;3760071200002;;0;051000;
160013;ELEC0801;Bluetens Pack of 8 electrodes M UNIVERSAL;66;640000;177;000000;0;3760071200057;;0;071000;
160014;CLIP01;Bluetens Belt Clip UNIVERSAL;42;000000;8;000000;0;3760071200040;;0;019000;
160015;HC01;Bluetens Hardcase for the carying UNIVERSAL;83;440000;9;000000;0;3760071200033;;0;190000;
160016;CLI01SF;Bluetens Wireless Pack UNIVERSAL;105;840000;17;000000;0;3760071200644;;0;087000;
160017;ELESUR;Bluetens Electrodes surf UNIVERSAL;66;640000;5;000000;0;3760071200668;;0;044000;
160018;ELEPAP;Bluetens Electrodes butterfly UNIVERSAL;66;640000;35;000000;0;3760071200651;;0;068000;
160019;ELECDS;Bluetens DS Pack 4 electrodes M and 8 electrodes S;83;440000;100;000000;0;3760071201115;;0;068000;
150218;V179010501;Wahoo Timing belt KICKR18;335;440000;2;000000;0; ;Wahoo Fitness Accessories;0;000000;
780016;CF104-25;The Skin Agent COMFORT Anti chafe balm 25 ml;61;880000;263;000000;0;7350008050167;;0;053000;
520002;PGP-1282;Paingone Plus;238;680000;894;000000;0;5060035703272;;0;200000;
520003;KTR-230;Paingone Easy;197;080000;294;000000;0;5060035703968;;0;080000;
700064;60000 001-01;Hyperice Normatec 2.0 Leg Rec System Short Size Black;7039;360000;1;000000;0;852152004548;Hyperice;4;500000;
150220;WF140BK;Wahoo ELEMNT RIVAL Multi-Sport GPS Watch - Stealth Grey;1847;384000;667;000000;0;850010131115;;0;320000;
160003;BLT02_UNI_GDI;*Bluetens + accessories CE UNIVERSEL;671;440000;0;000000;0;3760071200705;;0;045000;
770081;A001114;BLACKROLL® BOOSTER HEAD;212;000000;2;000000;0;4260346271946;Blackroll;0;347000;
150217;SUN-1200500;Wahoo POWER BRICK FOR TRAINERS 2018;279;440000;5;000000;0; ;;0;000000;
150053;WFANTKIT1;Wahoo ANT+ USB;167;520000;104;000000;0;853988006263;Wahoo Fitness Hardware;1;000000;
150045;WFCC1M2;Wahoo ELEMNT Stem Mount;66;640000;0;000000;0;853988006164;Wahoo Fitness Accessories;0;031000;
150048;WFDESK1;Wahoo KICKR Desk;1399;440000;71;000000;0;857335002984;Wahoo Fitness Accessories;17;200000;
720047;WAPX-WB-WHT;Coros ACC APEX - 46mm/Pro Watch Band - White;139;440000;0;000000;0;810005780643;Coros;0;060000;
720048;WAPXP-WB-BLK;Coros ACC APEX - 46mm/Pro Watch Band - Black;139;440000;0;000000;0;810005780971;Coros;0;060000;
720049;WAPX-WB-LIM;Coros ACC APEX - 46mm/Pro Watch Band - Lime;139;440000;0;000000;0;810005780810;Coros;0;060000;
720050;WAPXP-WB-ORG;Coros ACC APEX - 46mm/Pro Watch Band - Orange;139;440000;0;000000;0;810005780988;Coros;0;060000;
720051;WAPXs-WB-COR;Coros ACC APEX - 42mm Watch Band - Coral Orange;139;440000;0;000000;0;810005780827;Coros;0;060000;
720052;WAPXs-WB-GRP;Coros ACC APEX - 42mm Watch Band - Grape;139;440000;3;000000;0;810005780834;Coros;0;060000;
