Inventory_list_LivingSport05-08-21,,,,,,,
,,,,,,,
LivingSport SKU no.,EAN / GS1,Description,Quantity,Next arrival,Comment,GW KG,Brand
Step Benches,,,,,,,
400-110150,885652014373,Reebok Step Mini,601,,,0,REEBOK
400-211503,5055436115595,Reebok Step Studio DELTA,220,8/9/21,,8,REEBOK
400-220002,5055436104506,Reebok Rack for Step GREY Studio,12,,,5.6,REEBOK
499-101500,5701000258891,Reebok Step Sparepart Platform Red,216,,,0.7,REEBOK
499-101501,5701000270800,Reebok Step Sparepart Connector Red,292,,,0.01,REEBOK
499-101530,5701000144798,Reebok Step Sparepart: Clip - All Steps,10614,,,0.01,REEBOK
499-101532,5701000162136,Reebok Step Sparepart: Rubber Feet - All,2768,,,0.01,REEBOK
Jump,,,,,,,
400-216080,5055436115120,Reebok Jump Rope Leather DELTA Studio,325,8/10/21,,0.3,REEBOK
400-216081,5055436115113,Reebok Jump Rope DELTA Studio,0,8/9/21,,0,REEBOK
400-216082,5055436115106,Reebok Speed Rope DELTA Studio,0,8/9/21,,0.2,REEBOK
420-110160,885652004343,Adidas jump Cable Skipping Rope,417,,,0.3,ADIDAS
610-000144,5701000097063,TITAN LIFE Jump rope. Color Black,659,,,0,TITAN LIFE
Mats,,,,,,,
400-110140,885652009881,Reebok Mat Fitness 7mm Black,0,10/5/21,,0,REEBOK
400-110141,885652009904,Reebok Mat Training 7mm Red,300,,,0,REEBOK
400-110151,885652020411,Reebok Mat Training 10mm Black,298,,,0,REEBOK
400-110221,0885652009805,Reebok Mat Yoga 4mm Purple,0,1/4/22,,0,REEBOK
400-110222,5055436110330,Reebok Mat Yoga 4mm Green,0,1/4/22,,0,REEBOK
400-216021,5055436115496,Reebok Mat DELTA Studio,1205,,,1,REEBOK
400-216022,5055436115526,Reebok Mat Yoga Elite DELTA Studio,597,,,1,REEBOK
400-216026,885652010863,Reebok Mat Yoga Delta BLACK,1000,9/17/21,,1,REEBOK
400-220000,5055436104438,Reebok Rack for Mat GREY Studio,4,,,0,REEBOK
400-900270,5701000291805,Reebok Rack for Wall for Mat BLACK,154,1/3/22,,5,REEBOK
420-101000,885652012492,Adidas Mat Yoga 8mm Raw Green,107,10/5/21,,0,ADIDAS
420-101002,885652012478,Adidas Mat Yoga 8mm Mystery Ruby,240,,,0,ADIDAS
420-101003,885652012485,Adidas Mat Yoga 8mm Trace Blue,125,10/5/21,,0,ADIDAS
420-160280,5055436116691,Reebok Mat Pilates w/eyelets BLACK 2019 Version,1026,,,0,REEBOK
420-202000,885652020008,Adidas Yoga Strap Grey,107,,,0,ADIDAS
610-000128,5701000096424,"TITAN LIFE Mat Training 180x60x1,5cm. Blue",1657,7/28/21,,0,TITAN LIFE
610-000129,5701000096448,"TITAN LIFE Mat Training. 177x60x1,5cm. Grey",279,8/10/21,,0,TITAN LIFE
610-000777,5701000096547,TITAN LIFE Yoga Mat. Color: Blue,2378,,,0,TITAN LIFE
610-000778,5701000083806,Comfortgym 100 x 60cm x 7mm,40,,,0,TITAN LIFE
610-000779,5701000096561,TITAN LIFE Yoga Mat. Color: Pink,0,12/3/21,,0,TITAN LIFE
610-000780,5701000096585,TITAN LIFE Yoga Mat. Color:  Black incl. Eyelet,0,12/3/21,,0,TITAN LIFE
Kettlebells,,,,,,,
610-000113,5701000094222,UDGÅET - TITAN LIFE Kettlebell 10kg. Plastic,0,,,0,TITAN LIFE
610-000117,5701000094307,UDGÅET - TITAN LIFE Kettlebell 4kg. Plastic,0,,,0,TITAN LIFE
610-000118,5701000094321,UDGÅET - TITAN LIFE Kettlebell 6kg. Plastic,1,,,0,TITAN LIFE
610-000119,5701000094345,TITAN LIFE Kettlebell 8kg. Plastic,35,,,0,TITAN LIFE
610-000734,5701000089280,TITAN LIFE Kettlebell 10kg Purple. Cast iron w/Vin,0,7/28/21,,0,TITAN LIFE
610-000735,5701000089303,TITAN LIFE Kettlebell 12kg Red. Cast iron w/Vin,0,7/28/21,,0,TITAN LIFE
610-000736,5701000089327,TITAN LIFE Kettlebell 16kg Orange Cast iron w/Vin,0,7/28/21,,0,TITAN LIFE
610-000737,5701000089341,TITAN LIFE Kettlebell 20kg Blue. Cast iron w/Vin,0,7/28/21,,0,TITAN LIFE
610-000738,5701000089365,TITAN LIFE Kettlebell 4kg Red. Cast iron incl. Vin,0,1/3/22,,0,TITAN LIFE
610-000739,5701000089389,TITAN LIFE Kettlebell 6kg Green. Cast iron w/Vin,0,1/3/22,,0,TITAN LIFE
610-000740,5701000089402,TITAN LIFE Kettlebell 8kg Blue. Cast iron w/Vin,0,1/3/22,,0,TITAN LIFE
Medicinballs,,,,,,,
400-201840,5055436104841,Reebok Wallball 12kg Studio,5,,,12,REEBOK
400-210103,5055436114048,Reebok Med Ball Dynamax 3kg Studio,12,,,3.65,REEBOK
400-210105,5055436114062,Reebok Med Ball Dynamax 5kg Studio,5,,,5.65,REEBOK
400-210106,5055436114079,Reebok Med Ball Dynamax 6kg Studio,16,,,7,REEBOK
400-210108,5055436114093,Reebok Med Ball Dynamax 8kg Studio,37,,,9,REEBOK
400-210109,5055436114109,Reebok Med Ball Dynamax 9kg Studio,13,,,10,REEBOK
400-210110,5055436114116,Reebok Med Ball Dynamax 10kg Studio,19,,,11,REEBOK
400-210111,5055436114123,Reebol Med Ball Dynamax 11kg Studio,8,,,12,REEBOK
400-210112,5055436114130,Reebok Med Ball Dynamax 12kg Studio,2,,,13,REEBOK
400-300240,5701000254275,Titan Box Wall Ball Large Rage 8kg,4,,,8.5,TITAN LIFE
610-000477,5701000091467,Medicinbold 10kg,7,,,0,TITAN LIFE
610-000479,5701000091481,Medicinbold 1kg,8,,,0,TITAN LIFE
610-000487,5701000091566,Medicinbold 5kg,7,,,0,TITAN LIFE
610-000489,5701000091580,TITAN LIFE Medicinball 6kg,1,,,0,TITAN LIFE
610-000491,5701000091603,Medicinbold 7kg,15,,,0,TITAN LIFE
610-000493,5701000091627,Medicinbold 8kg,11,,,0,TITAN LIFE
610-000494,5701000091641,Medicinbold 9kg,11,,,0,TITAN LIFE
610-000715,5701000097520,Trampolin Til Medicinbolde,22,,,0,TITAN LIFE
610-000749,5701000091061,"Vægtbold 0,5kg",40,,,0,TITAN LIFE
610-000750,5701000091085,Vægtbold 1kg,37,,,0,TITAN LIFE
610-000751,5701000091108,Vægtbold 2kg,7,,,0,TITAN LIFE
610-000752,5701000091122,Vægtbold 3kg,8,,,0,TITAN LIFE
610-000754,5701000091160,Vægtbold 4kg,4,,,0,TITAN LIFE
610-000756,5701000087408,Wall Ball 10kg Træningsbold,2,,,0,TITAN LIFE
Resistance tubes,,,,,,,
400-216075,5055436115069,Reebok Resistance Tube Light DELTA Studi,0,8/9/21,,0.2,REEBOK
